URL|TITLE|CURRENCY|AMOUNT ASKED|AMOUNT RECEIVED|BACKERS|AVG AMOUNT|DAYS LEFT|LOCATION|CATEGORY|NUMBER OF WORDS|NUMBER OF PICS|NUMBER OF VIDEOS|NUMBER OF COMMENTS|NUMBER OF UPDATES|NUMBER OF REWARDS|AMOUNT OF REWARDS|NUMBER OF WORDS OF REWARDS
https://fondeadora.mx/projects/albur-fashion|Albur Fashion|MXN|30000|30301|17|1782|0|México, D.F.|Design|276|0|1|0|0|0||
https://fondeadora.mx/projects/art-toy-trampantojo|Art Toy Trampantojo|MXN|30000|30027|37|811|0|México, D.F.|Design|1|0|1|0|0|8|100.0 MXN, 250.0 MXN, 400.0 MXN, 700.0 MXN, 900.0 MXN, 1100.0 MXN, 1500.0 MXN, 3000.0 MXN|11, 11, 12, 14, 17, 19, 23, 24
https://fondeadora.mx/projects/oh-antoniet-boutique-la-buena-tienda|Oh! Antoniet Boutique: “La Buena Tienda”|MXN|27000|27093|16|1693|0|Tampico, Tamaulipas|Design|429|0|1|0|0|9|225.0 MXN, 275.0 MXN, 350.0 MXN, 600.0 MXN, 900.0 MXN, 1500.0 MXN, 2000.0 MXN, 2500.0 MXN, 10000.0 MXN|54, 46, 52, 52, 54, 83, 106, 85, 89
https://fondeadora.mx/projects/zagal-juguetes-de-acrilico|Zagal, Juguetes de Acrílico|MXN|20000|20000|21|952|0|México, D.F.|Design|287|0|1|0|0|8|100.0 MXN, 400.0 MXN, 800.0 MXN, 1000.0 MXN, 1200.0 MXN, 1500.0 MXN, 3000.0 MXN, 7000.0 MXN|31, 19, 26, 31, 17, 27, 23, 33
https://fondeadora.mx/projects/solo-por-su-disco|#SoloPorSuDisco|MXN|250000|278950|230|1212|0|México, D.F.|Music|1|0|1|24|0|6|100.0 MXN, 250.0 MXN, 500.0 MXN, 1000.0 MXN, 5000.0 MXN, 10000.0 MXN|13, 25, 31, 38, 50, 48
https://fondeadora.mx/projects/toca-conmigo|Toca Conmigo - Ciudad de México|MXN|500000|519067|50|10381|0|México, D.F.|Music|744|0|1|3|0|12|100.0 MXN, 250.0 MXN, 350.0 MXN, 500.0 MXN, 950.0 MXN, 1500.0 MXN, 2500.0 MXN, 7000.0 MXN, 10000.0 MXN, 20000.0 MXN, 50000.0 MXN, 100000.0 MXN|11, 7, 10, 18, 25, 38, 41, 8, 17, 28, 22, 20
https://fondeadora.mx/projects/revoltoso|Revoltoso|MXN|125000|174173|122|1427|0|México, D.F.|Film and Video|1|0|1|8|2|9|100.0 MXN, 300.0 MXN, 500.0 MXN, 1000.0 MXN, 1500.0 MXN, 2500.0 MXN, 5000.0 MXN, 10000.0 MXN, 50000.0 MXN|17, 25, 32, 55, 61, 84, 86, 115, 104
https://fondeadora.mx/projects/mon-laferte|Mon Laferte girando por México|MXN|120000|167518|91|1840|0|México, D.F.|Music|385|0|1|2|0|9|50.0 MXN, 200.0 MXN, 750.0 MXN, 1000.0 MXN, 2000.0 MXN, 3000.0 MXN, 5000.0 MXN, 10000.0 MXN, 20000.0 MXN|14, 21, 27, 21, 20, 23, 19, 19, 20
https://fondeadora.mx/projects/garra-de-jaguar|Garra de Jaguar|MXN|300000|320297|189|1694|0|México, D.F.|Animation|1|0|1|9|0|8|100.0 MXN, 200.0 MXN, 500.0 MXN, 750.0 MXN, 1000.0 MXN, 2000.0 MXN, 5000.0 MXN, 10000.0 MXN|11, 26, 29, 28, 36, 23, 28, 17
https://fondeadora.mx/projects/lebaron|LeBaron Gira por Estados Unidos|MXN|310000|311350|43|7240|0|México, D.F.|Music|1|0|1|3|0|7|250.0 MXN, 500.0 MXN, 1000.0 MXN, 2500.0 MXN, 5000.0 MXN, 10000.0 MXN, 25000.0 MXN|25, 28, 34, 50, 56, 39, 20
https://fondeadora.mx/projects/sabado-distrito-federal|Sábado Distrito Federal|MXN|300000|302250|42|7196|0|México, D.F.|Film and Video|320|1|1|2|2|5|100.0 MXN, 300.0 MXN, 500.0 MXN, 1000.0 MXN, 4000.0 MXN|14, 13, 21, 19, 32
https://fondeadora.mx/projects/betinorama-diario-de-un-pedazo-de-carne|Betinorama: diario de un pedazo de carne|MXN|125000|152958|220|695|0|Toluca, Méx.|Comics|271|0|1|11|0|8|20.0 MXN, 150.0 MXN, 400.0 MXN, 500.0 MXN, 600.0 MXN, 700.0 MXN, 1000.0 MXN, 2000.0 MXN|29, 38, 39, 41, 94, 66, 75, 83
https://fondeadora.mx/projects/manana-psicotropica|Mañana Psicotrópica|MXN|255000|255600|63|4057|0|Nuevo León, Mexico|Film and Video|445|0|1|0|0|12|200.0 MXN, 250.0 MXN, 300.0 MXN, 350.0 MXN, 400.0 MXN, 500.0 MXN, 700.0 MXN, 1000.0 MXN, 5000.0 MXN, 6000.0 MXN, 10000.0 MXN, 20000.0 MXN|16, 19, 10, 12, 29, 20, 10, 19, 15, 11, 11, 11
https://fondeadora.mx/projects/eldavidaguilar|El David Aguilar|MXN|120000|137350|174|789|0|Culiacán, Sin.|Music|338|0|1|6|0|10|50.0 MXN, 200.0 MXN, 400.0 MXN, 750.0 MXN, 1000.0 MXN, 2000.0 MXN, 2500.0 MXN, 5000.0 MXN, 10000.0 MXN, 15000.0 MXN|8, 29, 23, 57, 38, 59, 21, 70, 58, 38
https://fondeadora.mx/projects/azumamakoto|Azuma Makoto - Taller e Intervención floral.|MXN|250000|271862|40|6796|0|México, D.F.|Design|343|0|1|1|0|4|500.0 MXN, 1000.0 MXN, 2500.0 MXN, 7500.0 MXN|28, 53, 73, 42
https://fondeadora.mx/projects/en-algun-sitio|En algún sitio Somewhere else|MXN|110000|127955|132|969|0|México, D.F.|Film and Video|1576|0|1|14|0|7|200.0 MXN, 500.0 MXN, 700.0 MXN, 1000.0 MXN, 2000.0 MXN, 5000.0 MXN, 10000.0 MXN|35, 73, 84, 83, 129, 146, 193
